Remarks,RCA,Query,Type,open_tokens,l1l2l4_category,l1l2l3_category,brand,color,pack size
shows elaichi plants before elaichi,"training data skew, almost entirely presetn in name text queries, dominated by elaichi plants",ilachi,Generic Words (Broad),['ilachi'],['Groceries: Cooking Essentials - Whole Spices'],"['Groceries: Cooking Essentials - Masala, Spices & Mukhwas']",,,
works fine but large number of activated charcoal soaps in first 2-3 pages,,bath soap,Generic Words (Narrow),,['Groceries: Personal Care - Bathing Bars & Soaps'],['Groceries: Personal Care - Bath & Hand Wash'],,,
working well,,sunfeast biscuits,Generic + Brand,,"['Groceries: Biscuits, Drinks & Packaged Foods - Cookies']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",['sunfeast'],,
working well,,amul pure ghee 1 l pouch,Generic + PackSize,['pouch'],"['Groceries: Staples - Ghee', 'Groceries: Cooking Essentials - Ghee']","['Groceries: Staples - Ghee', 'Groceries: Cooking Essentials - Ghee']",['amul'],,['1 L']
working well,,pappad,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Papads, Ready To Fry']","['Groceries: Biscuits, Drinks & Packaged Foods - Ready To Cook & Eat']",,,
works as expected,,kitchen towel,Generic Words (Narrow),,"['Fashion: Home & Kitchen - Kitchen Linen', 'Home & Lifestyle: Home Furnishing - Dish Cloths & Towels']","['Fashion: Home & Kitchen - Kitchen & Dining', 'Home & Lifestyle: Home Furnishing - Dish Cloths & Towels']",,,
working well,,dant kanti toothpaste,Generic + Brand,"['dant', 'kanti']",['Groceries: Personal Care - Toothpaste'],['Groceries: Personal Care - Oral Care'],['patanjali'],,
"top 2 products are good day biscuits, followed by lot of khari, followed by other biscuit","not enough training data, name text overfitting ",good day biscuits family pack 1kg,Generic + PackSize,['family'],"['Groceries: Biscuits, Drinks & Packaged Foods - Cookies']","['Groceries: Biscuits, Drinks & Packaged Foods - Biscuits & Cookies']",['britannia'],,['1 kg']
shows kinki rice instead of basmati,"spell correct issue, training data looks correct",basmathi,Generic Words (Broad),,['Groceries: Cooking Essentials - Basmati Rice'],['Groceries: Cooking Essentials - Rice'],,,
,,cheese block,Generic Words (Narrow),['block'],['Groceries: Dairy & Bakery - Cheese'],"['Groceries: Dairy & Bakery - Cheese, Paneer & Tofu']",,,
,,haldiram moong dal namkeen,Generic + Brand,"['moong', 'dal']","['Groceries: Biscuits, Drinks & Packaged Foods - Namkeen & Savoury Snacks']","['Groceries: Biscuits, Drinks & Packaged Foods - Chips & Namkeens']",['haldiram'],,
"shows other brands before fortune, fortune is present on page 2. 15 L also not recognised very well",,fortune sunflower oil 15 liter,Generic + PackSize,,['Groceries: Cooking Essentials - Sunflower Oil'],['Groceries: Cooking Essentials - Edible Oils'],,,
"random product with 'channa' in name text before chana, chana works fine",name text overfit,channa,Generic Words (Broad),,"['Groceries: Biscuits, Drinks & Packaged Foods - Roasted Chana', 'Groceries: Cooking Essentials - Kabuli Chana']","['Groceries: Biscuits, Drinks & Packaged Foods - Chips & Namkeens',  'Groceries: Cooking Essentials - Dals & Pulses']",,,
